Id,ProjectId,TimeStamp,PowerGenerated,PowerConsumed,CreatedAt,PowerGeneratedRaw,PowerConsumedRaw,PowerGeneratedRaw/4,PowerConsumedRaw/4
286918,2,2018-01-01 20:15:00,0,0,2018-01-01 20:30:09,0,0,0,0
286937,2,2018-01-01 20:30:00,0,0,2018-01-01 20:45:09,0,0,0,0
286957,2,2018-01-01 20:45:00,0,0,2018-01-01 21:00:10,0,0,0,0
286976,2,2018-01-01 21:00:00,0,4513.36,2018-01-01 21:15:09,0,4513.36,0,1128.34
286994,2,2018-01-01 21:15:00,0,4604.33,2018-01-01 21:30:10,0,4604.33,0,1151.0825
287014,2,2018-01-01 21:30:00,0,4631.62,2018-01-01 21:45:10,0,4631.62,0,1157.905
287033,2,2018-01-01 21:45:00,0,3985.59,2018-01-01 22:00:10,0,3985.59,0,996.3975
287052,2,2018-01-01 22:00:00,0,4089.81,2018-01-01 22:15:10,0,4089.81,0,1022.4525
287069,2,2018-01-01 22:15:00,0,3987.52,2018-01-01 22:30:09,0,3987.52,0,996.88
287089,2,2018-01-01 22:30:00,0,3268.37,2018-01-01 22:45:09,0,3268.37,0,817.0925
287109,2,2018-01-01 22:45:00,0,3125.68,2018-01-01 23:00:09,0,3125.68,0,781.42
287127,2,2018-01-01 23:00:00,0,3239.54,2018-01-01 23:15:09,0,3239.54,0,809.885
287146,2,2018-01-01 23:15:00,0,3182.92,2018-01-01 23:30:09,0,3182.92,0,795.73
287164,2,2018-01-01 23:30:00,0,2924.28,2018-01-01 23:45:09,0,2924.28,0,731.07
285366,2,2018-01-01 23:45:00,0,0,2018-01-01 0:00:08,0,0,0,0
287203,2,2018-01-02,0,3464.52,2018-01-02 0:15:10,0,3464.52,0,866.13
287222,2,2018-01-02 0:15:00,0,3608.02,2018-01-02 0:30:10,0,3608.02,0,902.005
287241,2,2018-01-02 0:30:00,0,3410.6,2018-01-02 0:45:09,0,3410.6,0,852.65
287260,2,2018-01-02 0:45:00,0,2929.61,2018-01-02 1:00:09,0,2929.61,0,732.4025
287279,2,2018-01-02 1:00:00,0,2941.56,2018-01-02 1:15:09,0,2941.56,0,735.39
287298,2,2018-01-02 1:15:00,0,3297.77,2018-01-02 1:30:09,0,3297.77,0,824.4425
287318,2,2018-01-02 1:30:00,0,3204.65,2018-01-02 1:45:09,0,3204.65,0,801.1625
287336,2,2018-01-02 1:45:00,0,1495.9,2018-01-02 2:00:08,0,1495.9,0,373.975
287355,2,2018-01-02 2:00:00,0,992.45,2018-01-02 2:15:09,0,992.45,0,248.1125
287375,2,2018-01-02 2:15:00,0,831.16,2018-01-02 2:30:08,0,831.16,0,207.79
287393,2,2018-01-02 2:30:00,0,1137.41,2018-01-02 2:45:08,0,1137.41,0,284.3525
287412,2,2018-01-02 2:45:00,0,1123.85,2018-01-02 3:00:08,0,1123.85,0,280.9625
287431,2,2018-01-02 3:00:00,0,1280.54,2018-01-02 3:15:09,0,1280.54,0,320.135
287450,2,2018-01-02 3:15:00,0,1309.65,2018-01-02 3:30:08,0,1309.65,0,327.4125
287468,2,2018-01-02 3:30:00,0,2259.9,2018-01-02 3:45:08,0,2259.9,0,564.975
287487,2,2018-01-02 3:45:00,0,1020.76,2018-01-02 4:00:08,0,1020.76,0,255.19
287507,2,2018-01-02 4:00:00,0,921.92,2018-01-02 4:15:08,0,921.92,0,230.48
287525,2,2018-01-02 4:15:00,0,1017.97,2018-01-02 4:30:09,0,1017.97,0,254.4925
287545,2,2018-01-02 4:30:00,0,1029.4,2018-01-02 4:45:08,0,1029.4,0,257.35
287563,2,2018-01-02 4:45:00,0,1061.35,2018-01-02 5:00:09,0,1061.35,0,265.3375
287583,2,2018-01-02 5:00:00,0,1034.69,2018-01-02 5:15:09,0,1034.69,0,258.6725
287602,2,2018-01-02 5:15:00,0,948.46,2018-01-02 5:30:08,0,948.46,0,237.115
287621,2,2018-01-02 5:30:00,0,989.93,2018-01-02 5:45:09,0,989.93,0,247.4825
287640,2,2018-01-02 5:45:00,0,2433.75,2018-01-02 6:00:09,0,2433.75,0,608.4375
287658,2,2018-01-02 6:00:00,0,0,2018-01-02 6:15:08,0,0,0,0
287679,2,2018-01-02 6:15:00,0,0,2018-01-02 6:30:12,0,0,0,0
287696,2,2018-01-02 6:30:00,0,0,2018-01-02 6:45:08,0,0,0,0
287717,2,2018-01-02 6:45:00,0,0,2018-01-02 7:00:20,0,0,0,0
287733,2,2018-01-02 7:00:00,11.5,4877.67,2018-01-02 7:15:09,11.5,4877.67,2.875,1219.4175
287754,2,2018-01-02 7:15:00,79,4357.18,2018-01-02 7:30:08,79,4357.18,19.75,1089.295
287773,2,2018-01-02 7:30:00,150,5855.71,2018-01-02 7:45:08,150,5855.71,37.5,1463.9275
287792,2,2018-01-02 7:45:00,193.33,5874.81,2018-01-02 8:00:08,193.33,5874.81,48.3325,1468.7025
287811,2,2018-01-02 8:00:00,555,8684.17,2018-01-02 8:15:09,555,8684.17,138.75,2171.0425
287830,2,2018-01-02 8:15:00,1425,12487.12,2018-01-02 8:30:08,1425,12487.12,356.25,3121.78
287849,2,2018-01-02 8:30:00,1908.66,8755.78,2018-01-02 8:45:08,1908.66,8755.78,477.165,2188.945
287868,2,2018-01-02 8:45:00,2254.66,10477.59,2018-01-02 9:00:08,2254.66,10477.59,563.665,2619.3975
287887,2,2018-01-02 9:00:00,2657.66,12678.74,2018-01-02 9:15:09,2657.66,12678.74,664.415,3169.685
